ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
1207;beef shoulder steak raw;349;173;75;9;18;0;0;482;0;1649;2;1718;14;2;82;21;6;92;22;1;0;17;4;60;287;2;6;454;20;4804;8007;90;18;100218
1208;beef top blade cooked;184;10;33;46;4;0;0;219;0;519;2;523;0;1;16;95;2;32;8;3;0;0;1;0;6;57;23;204;0;1819;2542;98;74;402
1209;corned beef cooked;53;4;13;19;1;6;0;38;0;206;2;126;0;48;94;66;27;6;82;34;0;15;22;96;17;9;4;25;25;263;305;34;1;9905
1210;beef round steak raw;753;36;142;155;14;0;0;1001;0;313;3;3132;0;4;79;67;6;299;29;3;0;0;15;79;953;4;84;1089;35;9616;158310;1;185;2398
1211;beef shoulder steak grilled;155;58;25;3;6;0;0;24;0;689;14;544;63;83;43;55;2;47;7;6;0;12;72;67;102;56;25;213;30;2083;3111;84;68;42589
1212;chuck eye steak raw;856;628;267;297;45;0;0;724;0;2611;3;2476;95;3;17;30;6;167;25;14;0;47;6;77;538;2;81;73;7;6874;126340;97;279;197159
1213;beef bottom round steak cooked;980;351;121;147;15;0;0;1558;0;4264;2;261;0;4;45;14;9;28;31;21;0;75;2;91;318;4;13;1043;38;9843;127920;2;268;2357
1214;porterhouse steak cooked;235;164;62;74;6;0;0;204;0;57;85;465;0;99;69;24;2;36;3;3;0;0;2;0;6;1;25;187;95;1641;2542;87;39;453
1215;beef under blade steak raw;1235;808;326;374;59;0;0;1268;0;431;3;2416;57;3;61;91;1;169;33;14;0;93;4;76;629;4;126;898;36;8127;122580;1;429;283198
1216;beef plate steak raw;617;468;19;206;23;9;0;478;0;1889;2;168;71;3;89;58;15;109;3;1;0;8;4;16;16;5;91;505;5;3777;6437;48;126;120656
1217;beef meat canned;111;79;39;36;4;0;0;92;0;347;95;275;0;37;13;37;82;19;41;41;0;0;9;18;45;79;1;72;88;63;1022;55;22;226
1218;beef breakfast strips raw;92;88;36;42;5;2;0;28;0;185;2;102;0;68;67;27;74;7;78;78;54;0;0;0;9;13;3;25;31;226;346;33;5;184
1219;beef brisket cooked;589;436;168;194;15;0;0;46;0;1655;1;883;0;1;26;21;4;58;6;5;0;41;3;82;125;2;44;356;76;3685;4468;63;103;1065
1220;corned beef raw;898;676;215;326;24;6;0;666;0;2449;55;3019;0;2;7;6;7;166;26;13;1225;0;0;0;318;5;77;635;12;5307;134720;70;129;2968
1221;beef mince meat asda;55;31;13;0;0;68;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99
1222;pastrami beef fat free;9;1;0;36;99;1;0;19;0;45;5;71;0;40;76;51;43;5;73;79;33;0;0;0;9;78;3;17;47;143;217;44;4;66
1223;rib eye steak raw;743;545;24;257;26;4;0;628;0;2217;2;2054;87;3;25;39;8;156;0;13;0;88;0;76;261;2;59;652;0;4466;802;10;162;149722
1224;beef tenderloin steak cooked;374;24;94;10;9;0;0;37;0;1358;61;785;0;1;16;67;2;99;7;8;0;28;7;28;266;1;24;308;76;287;4606;18;67;900
1225;chuck blade roast cooked;842;62;247;268;22;0;0;661;0;2569;2;1177;0;2;5;24;6;6;8;6;0;3;5;6;321;3;77;469;89;4989;5755;61;208;1679
1226;cured beef dried;4;19;86;88;7;60;6;9;0;22;49;15;0;17;58;25;2;1;65;32;0;0;26;87;2;91;4;5;18;51;66;10;1;1333
1227;beef flank steak cooked;380;175;72;71;7;0;0;518;0;1523;68;1191;0;1;21;3;2;14;1;1;0;0;7;69;338;2;34;414;95;3779;6129;73;9;1065
1228;chuck eye steak grilled;853;605;267;291;44;0;0;769;0;268;2;1701;4;12;2;83;85;6;144;23;11;0;93;3;20;493;2;75;678;45;5944;100100;12;14279
1229;veal meat raw;653;307;127;117;22;0;0;878;0;372;4;3304;0;4;97;61;12;34;59;19;0;0;12;0;68;5;38;1089;1;9208;142880;95;139;1903
1230;veal loin cooked;80;49;19;19;3;0;0;85;0;334;1;147;0;11;96;69;53;26;2;39;0;0;1;49;79;74;3;68;47;623;792;82;1;216
1231;veal loin raw;46;26;11;1;2;0;0;53;0;224;79;199;0;25;33;72;91;24;4;1;0;0;20;94;45;27;2;65;70;563;86;89;7;126
1232;veal shoulder cooked;435;194;72;74;14;0;0;612;0;2407;2;1077;0;1;49;5;6;123;29;5;0;0;8;60;669;3;27;516;37;4775;5902;91;126;1502
1233;beef tenderloin steak raw;405;298;12;127;11;0;0;322;0;1394;32;1009;0;1;87;98;2;95;9;9;0;0;7;56;377;1;23;328;94;2952;4953;49;56;1020
1234;veal shank cooked;371;12;4;45;1;0;0;612;0;2406;2;1198;0;62;18;16;6;183;24;5;0;0;0;0;64;2;24;485;17;4365;5917;99;129;1396
1235;beef brisket raw;1139;865;342;386;3;0;0;836;0;3084;3;2771;0;4;36;16;7;158;14;17;0;0;0;0;272;3;77;862;34;8029;127920;33;168;2050
1236;pastrami beef;104;41;19;15;1;3;80;155;0;483;8;494;0;84;31;72;1;3;2;2;2;90;85;38;71;24;16;121;48;1243;1491;75;35;288
1237;beef flank steak raw;47;23;1;1;38;0;0;6;0;192;54;197;0;82;50;46;70;19;2;2;0;97;34;72;76;95;4;62;61;546;934;76;11;163
1238;beef top sirloin steak cooked;430;252;99;105;1;0;0;477;0;1628;55;1033;0;1;75;72;2;127;9;1;0;9;8;69;354;1;31;389;63;3699;5947;26;86;1114
1239;veal breast raw;943;669;267;325;43;0;0;792;0;3221;3;307;0;0;0;0;0;0;0;0;0;0;0;0;318;4;24;816;46;7802;129730;7;106;1803
1240;beef rib raw;1433;1238;512;53;45;0;0;738;0;3221;2;2473;0;4;17;61;6;118;15;13;0;0;0;0;363;3;78;726;45;694;117940;67;17;2417
1241;beef jerky;82;51;22;23;2;22;18;66;4;96;4;47;0;59;93;61;84;3;45;48;0;22;18;81;4;29;11;102;72;814;1194;46;16;194
1242;beef breakfast strips cooked;51;39;16;19;2;2;0;35;0;134;3;3;0;77;20;1;34;7;85;13;0;25;50;16;1;60;4;31;97;267;466;23;7;90
1243;pork olive loaf;66;46;16;22;5;26;0;33;0;106;3;163;19;97;69;30;71;5;2;73;0;24;31;65;305;23;2;53;15;356;832;87;4;41265
1244;beef luncheon meat jellied;31;9;4;4;34;0;0;53;0;95;4;209;0;10;27;68;94;14;2;78;0;0;0;0;28;100;1;5;58;389;1126;32;1;100
1245;turkey pastrami;38;18;5;6;5;5;1;46;62;194;3;204;57;44;35;43;71;1;2;21;23;3;58;0;31;23;12;4;55;57;983;14;6;13579
1246;pork salami;41;34;12;16;4;2;0;23;0;79;2;36;0;56;94;35;72;6;1;72;0;0;0;0;13;77;1;22;42;229;378;41;4;73
1247;canadian style bacon raw;45;2;6;9;2;5;0;59;0;143;3;191;0;2;40;17;93;18;1;1;0;4;35;0;23;69;2;48;6;693;98;82;4;109
1248;honey loaf;85;36;13;17;3;26;26;99;0;262;4;384;0;2;46;28;2;18;4;2;0;21;1;48;308;85;6;114;2;969;2246;38;18;475
1249;pork beef salami;37;31;11;14;5;76;8;21;0;106;2;4;93;86;42;0;42;96;6;1;32;0;59;88;0;24;42;1;2;60;188;356;60;5334
1250;beef pork bologna;92;74;28;32;3;16;13;46;0;18;3;156;78;58;72;60;31;8;1;99;2;45;0;2;255;81;4;51;27;489;945;93;7;39702
1251;pork beef salami cooked;41;32;11;14;3;3;1;27;0;109;2;56;0;79;39;14;7;7;1;1;0;90;75;48;18;71;2;23;1;235;389;22;4;82
1252;pork breakfast strips raw;88;84;29;38;13;2;0;27;0;156;2;107;0;1;47;66;49;8;1;84;61;0;0;0;18;57;2;27;34;31;461;37;4;194
1253;pickle pimiento loaf;86;61;2;27;11;32;32;43;6;22;4;229;7;1;93;63;65;9;2;2;3;79;2;36;414;5;5;129;24;581;141;47;6;59105
1254;luxury loaf;39;13;4;7;1;14;0;52;0;101;3;191;0;2;55;55;33;1;1;11;0;80;0;0;101;15;3;56;4;518;1056;9;9;183
1255;mortadella;47;38;14;17;5;5;0;25;0;84;2;78;0;70;15;11;89;4;84;94;0;21;67;18;27;32;2;17;98;146;245;36;3;97
1256;pork bologna;69;56;19;27;6;2;0;43;0;165;3;17;0;1;77;87;77;11;2;96;0;32;35;40;31;99;2;39;92;389;787;23;6;134
1257;turkey salami cooked;9;5;1;2;1;81;63;1;54;38;23;34;85;68;36;48;75;2;61;1;0;57;17;94;2;26;26;11;25;133;108;72;1;3796
1258;pepperoni beef;10;9;3;3;53;0;0;5;0;21;90;6;0;88;70;32;14;26;70;6;97;40;0;43;4;9;35;4;14;35;56;35;27;1902
1259;peppered loaf;42;18;6;9;1;13;13;49;0;131;2;192;0;1;64;12;5;9;2;81;0;79;84;32;154;47;3;57;46;485;1123;59;9;237
1260;luncheon meat beef;10;3;1;1;13;0;0;18;0;32;1;69;0;57;95;5;67;4;7;54;0;26;59;76;9;11;3;17;54;129;374;55;3;33
1261;lebanon bologna;98;6;16;25;1;3;0;108;0;314;8;375;52;66;24;93;51;18;2;2;5;65;3;73;114;93;12;114;2;1094;1881;59;22;30243
1262;chicken pork bologna;94;86;28;37;12;12;0;29;0;244;3;142;10;94;81;1;41;1;2;81;37;0;2;48;549;56;3;45;42;624;454;0;3;71678
1263;turkey roll;40;19;6;6;5;6;0;49;0;149;1;189;0;38;72;75;13;13;2;89;0;75;9;0;86;88;4;49;85;454;729;49;5;164
1264;beef salami cooked;68;58;26;28;3;5;4;33;0;185;3;156;0;46;36;12;99;8;2;51;0;44;93;82;16;14;6;34;83;533;489;88;5;118
1265;yachtwurst cooked;150;127;44;0;0;8;0;83;0;358;5;326;0;0;0;0;0;0;0;0;0;0;0;0;106;0;6;0;0;0;0;0;0;330
1266;italian salami;43;37;13;18;4;1;1;22;0;8;2;35;0;25;24;71;9;6;1;15;0;0;0;0;1;57;2;22;52;229;34;35;4;72
1267;turkey ham;38;16;1;2;3;3;1;55;0;188;3;202;0;94;96;44;11;1;2;24;0;0;1;0;14;47;4;56;74;851;837;43;7;92
1268;turkey bologna;59;45;12;19;11;13;8;32;1;21;3;181;25;46;98;0;85;7;1;4;37;32;1;37;344;40;8;45;86;319;378;59;4;48096
1269;sliced turkey breast;17;6;1;2;2;4;1;24;0;78;1;122;38;0;84;21;76;87;11;89;6;0;49;7;0;22;23;51;3;25;398;594;97;3572
1270;luncheon meat pork beef;99;9;32;42;1;7;0;35;0;154;4;138;0;72;11;28;74;8;2;25;0;94;38;58;25;41;2;39;92;241;566;58;5;159
1271;beef bologna;90;78;31;37;4;13;6;33;0;171;3;166;4;43;19;52;31;14;7;1;85;46;83;2;53;63;10;4;39;55;462;1053;18;12962
1272;turkey bacon cooked;313;229;68;89;56;25;0;243;0;804;19;267;0;40;21;45;2;29;0;3;0;76;8;28;74;1;17;238;0;3772;3239;92;25;588
1273;ground emu cooked;178;51;14;21;7;0;0;31;0;948;25;718;2;0;3;38;14;6;97;34;9;0;0;3;44;87;3;55;316;85;2932;4088;44;37595
1274;ostrich leg raw;94;15;5;5;3;0;0;19;0;561;67;646;0;2;34;97;3;41;1;4;0;0;2;0;43;1;2;187;60;187;272;26;33;268
1275;ostrich strip raw;108;24;8;1;5;0;0;201;0;621;86;63;0;2;11;30;3;44;11;5;0;0;2;0;43;1;36;196;88;1921;2805;5;34;304
1276;emu fillet cooked;607;91;23;36;13;0;0;1232;0;3231;2;2617;0;14;50;62;24;387;133;36;0;0;9;0;236;9;18;1182;1;107170;156420;2;126;1739
1277;ostrich tenderloin raw;105;27;1;1;6;0;0;188;0;68;5;633;0;2;100;49;2;41;1;4;0;0;2;0;51;1;41;187;19;187;272;87;33;307
1278;emu drums cooked;649;84;27;36;17;0;0;1347;0;3786;5;2675;84;17;42;84;26;423;146;39;0;0;1;0;25;11;302;1373;1;127710;129790;2;212;198375
1279;green turtle raw;25;1;15;93;74;0;0;56;0;142;99;222;89;24;87;19;84;3;0;88;0;0;1;81;334;80;4;57;0;509;651;35;3;39567
1280;ground bison cooked;448;216;87;82;1;0;0;636;0;1775;2;1627;0;3;15;6;7;149;0;1;0;0;5;11;35;4;8;575;0;5325;8825;6;134;1282
1281;goat meat raw;494;105;32;47;8;0;0;934;0;2586;4;344;0;5;84;30;22;17;0;0;0;0;0;0;59;12;128;0;2;8165;174640;10;181;1757
1282;ground emu raw;157;47;12;19;7;0;0;266;0;807;62;853;0;3;73;51;5;88;32;8;0;0;3;0;82;2;47;281;20;2597;3744;61;41;442
1283;ground ostrich raw;180;95;24;29;1;0;0;22;0;774;21;775;0;2;71;32;3;48;12;5;0;0;3;0;76;1;32;218;25;2169;3172;67;38;423
1284;ostrich tip cooked;123;22;9;8;4;0;0;242;0;723;86;582;0;2;20;77;2;61;11;5;0;0;2;0;51;1;24;213;13;2134;3077;19;41;339
1285;caribou cooked;210;64;25;2;1;0;0;38;0;1412;4;864;1;4;55;32;11;78;2;5;0;0;12;9;66;4;63;317;49;2838;3234;73;57;574
1286;ground ostrich cooked;163;66;17;2;7;0;0;243;0;772;99;624;2;0;2;45;44;2;61;11;5;0;33;2;0;74;1;32;214;76;2083;3004;33;31712
1287;ostrich leg cooked;120;16;6;6;3;0;0;247;0;621;16;595;0;2;74;23;3;62;11;5;0;0;2;0;51;1;27;213;35;2074;2992;50;4;341
1288;ostrich top loin cooked;132;33;11;11;3;0;0;239;0;791;29;578;1;0;2;82;62;2;6;11;5;0;0;2;46;51;1;28;213;75;2083;3001;17;27982
1289;ostrich strip cooked;139;36;15;15;6;0;0;25;0;825;34;566;0;2;12;81;3;63;12;5;0;0;2;0;43;1;41;221;13;2151;3111;18;42;370
1290;ostrich tip raw;97;2;7;7;4;0;0;186;0;612;41;647;0;2;99;17;2;4;1;4;0;0;2;0;43;1;24;187;34;1811;2635;33;32;273
1291;ostrich round raw;99;2;7;7;4;0;0;187;0;604;74;643;0;2;87;12;2;4;1;4;0;0;2;0;43;1;3;187;18;1836;2678;73;32;280
1292;ground bison raw;124;61;25;23;3;99;0;172;0;468;42;609;0;1;20;8;2;45;0;3;0;0;2;23;94;1;24;179;0;1649;2788;14;39;35102
1293;ostrich fan raw;99;23;8;8;4;0;0;185;0;621;40;645;0;2;45;90;2;4;1;4;0;0;2;0;51;1;37;187;18;1794;2618;3;32;296
1294;ostrich top loin raw;101;25;1;9;5;0;0;184;0;638;73;64;0;2;42;32;2;4;1;4;0;0;2;0;51;1;27;187;82;1819;2652;99;32;287
1295;veal brain cooked;461;326;74;59;51;0;0;389;0;1050900;5;2607;0;3;24;84;7;82;34;6;441;0;0;0;542;9;57;542;1;130520;7255;55;55;1755
1296;veal tongue cooked;515;258;111;118;1;0;0;659;0;6069;2;1634;0;2;98;16;9;37;19;4;153;0;0;0;23;5;53;459;1;4233;4131;16;115;1353
1297;beef heart cooked;47;13;4;3;3;57;0;81;0;60;24;186;16;0;62;47;50;3;19;5;48;0;22;89;38;14;2;18;59;30;719;62;15;9714
1298;turkey liver cooked;100;43;12;6;11;0;0;143;0;3434;83;339;57;1;4;96;14;59;23;5;12;0;83;68;101;6;9;138;2;1654;811;22;24;473
1299;veal thymus cooked;35;9;3;3;66;0;0;64;0;991;36;208;0;55;52;95;84;1;3;5;112;0;79;0;11;29;4;68;63;1774;1231;59;6;200
1300;beef brain cooked;688;556;131;14;81;0;0;441;0;700250;6;2483;0;5;97;57;9;133;2;14;116;0;0;0;316;8;78;527;1;135490;124250;90;47;1507
1301;beef pancreas cooked;602;382;131;132;71;0;0;602;0;5816;1;1234;0;4;93;52;11;88;94;4;451;0;0;0;355;2;58;466;5;100570;5461;1;102;1848
1302;beef tripe cooked;80;34;12;14;2;17;0;10;0;1335;45;694;0;0;38;53;0;4;89;0;0;0;1;0;689;0;6;128;41;561;357;10;15;846
1303;chicken gizzard cooked;223;39;1;8;5;0;0;441;0;5365;69;985;0;94;74;95;3;45;7;1;0;0;3;0;247;2;46;44;1;2741;2596;47;64;773
1304;pork pancreas cooked;537;265;91;92;5;0;0;698;0;7718;1;1477;0;2;86;58;16;79;116;11;14;0;0;0;392;3;66;564;5;713;4116;2;105;1561
1305;beef tongue cooked;80;63;23;29;2;0;0;55;0;374;29;164;0;42;7;72;25;1;2;67;4;67;74;49;14;48;7;42;30;41;521;65;12;143
1306;lamb heart cooked;353;151;6;42;15;37;0;477;0;4756;1;1226;0;3;6;51;23;83;26;6;134;0;0;0;267;12;105;458;1;4851;3591;40;7;1171
1307;beef spleen cooked;447;129;43;34;1;0;0;773;0;106880;2;2155;0;1;35;60;9;171;27;1;1549;0;0;0;37;28;1212;585;2;9394;8747;3;86;4033
1308;veal kidneys cooked;300;104;32;23;21;0;0;484;0;145540;2;1245;4;3;56;2;37;85;16;3;147;0;0;0;534;7;56;442;2;6845;2926;2;78;1329
1309;chicken heart cooked;268;115;33;29;33;1;0;383;0;3509;81;94;33;1;1;34;11;41;38;5;26;0;0;0;276;7;131;29;2;2886;1914;27;106;93286
1310;lamb tongue cooked;701;517;20;255;32;0;0;55;0;482;2;1475;0;2;82;27;11;94;9;4;179;0;0;0;255;5;67;408;76;3417;4029;72;76;1568
1311;veal heart cooked;368;134;36;28;35;3;0;577;0;3485;1;1231;0;7;29;48;18;97;33;4;198;0;0;0;158;9;86;356;1;495;394;1;44;1156
1312;chicken liver cooked;76;28;9;6;6;5;0;113;0;2482;79;287;6;19;1;2;15;1;61;37;4;12;0;3;0;44;2;57;119;2;1945;1386;52;15238
1313;lamb pancreas cooked;541;349;158;126;17;0;0;527;0;924;1;1378;0;22;89;26;5;59;2;1;462;0;0;0;277;2;49;439;49;9956;6722;1;62;1664
1314;veal spleen cooked;445;10;33;27;7;0;0;831;0;154220;2;2458;0;2;22;51;1;184;0;2;138;0;0;0;242;32;254;483;3;107640;7418;3;66;2807
1315;lamb liver cooked;739;296;115;62;44;85;0;1027;0;168340;2;1904;252;8;2;3;135;408;133;16;134;0;0;0;269;238;278;739;17;141120;7426;4;265;2341
1316;turkey gizzard cooked;70;21;5;4;3;0;0;119;0;2034;31;311;91;30;45;67;2;29;2;27;28;0;25;0;77;1;17;95;63;842;869;33;18;26231
1317;lamp spleen cooked;460;141;47;37;1;0;0;781;0;113580;2;1958;0;2;62;28;9;173;0;2;767;0;0;0;384;4;1141;62;2;100600;7316;1;116;3214
1318;turkey heart cooked;35;15;4;3;4;0;0;5;0;718;46;134;85;70;91;89;3;16;3;1;6;0;13;0;42;2;14;56;17;482;406;1;9;12759
1319;beef liver cooked;130;36;12;4;4;35;0;198;0;2693;68;40;2;64;1;2;10;23;119;48;7;13;34;3;70;41;97;44;143;2;338;2394;23;37539
1320;lamb lungs cooked;431;118;4;3;16;0;0;757;0;108200;3;2889;1;1;12;100;5;93;0;2;1067;0;0;0;457;9;174;419;64;7163;4839;95;74;2574
1321;pork brain cooked;527;363;82;66;56;0;0;464;0;974860;3;2899;0;3;63;31;9;127;7;5;535;0;0;0;344;1;7;458;3;8404;7449;3;57;1776
1322;goose liver;125;4;15;8;2;59;0;154;0;4841;1;675;88;5;7;22;8;61;58;7;42;0;0;0;404;71;287;226;0;2453;2162;67;29;1074
1323;pork kidneys cooked;211;66;21;22;5;0;0;356;0;672;1;962;1;6;98;28;22;81;4;6;148;0;0;0;182;1;74;252;2;336;2002;4;58;827
1324;lamb brain cooked;503;353;9;64;36;0;0;435;0;708920;5;2628;0;4;7;88;8;86;34;4;416;0;0;0;416;7;58;486;2;116940;7114;66;47;1678
1325;pork heart cooked;215;73;19;17;19;6;0;342;0;3205;53;987;17;8;23;0;25;88;36;6;29;0;0;0;102;7;85;348;1;2581;2987;82;45;63745
1326;lamb kidneys cooked;349;92;31;2;17;25;0;603;0;144080;4;1796;3;9;2;2;53;153;52;3;306;0;0;0;459;9;316;51;4;7395;4539;6;97;1804
1327;beef lungs cooked;364;112;38;29;15;0;0;618;0;8393;3;2315;95;1;62;90;4;76;19;66;991;0;0;0;333;7;164;303;15;5393;5242;2;5;221858
1328;veal pancreas cooked;614;35;12;121;65;0;0;698;0;0;2;1337;0;4;68;82;12;10;0;5;144;0;0;0;432;2;57;576;6;122880;6672;98;125;1681
1329;pork liver cooked;584;156;5;22;37;133;0;921;0;125670;2;2277;191;9;6;71;78;299;169;2;835;0;0;0;354;22;634;496;11;8531;531;2;238;3224
1330;beef kidneys cooked;45;13;3;2;2;0;0;77;0;2026;29;189;0;1;73;13;8;11;4;1;0;95;99;0;54;2;16;34;7;86;382;49;8;160
1331;turkey giblets cooked;164;63;16;1;15;0;0;251;0;495;1;633;95;44;2;3;63;15;82;22;5;0;0;1;14;171;7;32;238;2;2366;1682;72;32643
1332;duck liver raw;60;2;6;3;3;16;0;82;0;2266;89;316;53;2;3;46;4;29;27;3;2;0;0;0;48;26;134;106;1;1184;1012;69;14;373
1333;veal liver cooked;154;5;16;9;9;3;0;227;0;4088;46;479;2;169;1;3;90;23;105;52;7;9;0;5;43;48;12;41;16;2;368;2632;43;43638
1334;pork lungs cooked;297;93;33;21;11;0;0;498;0;116100;2;240;0;2;69;49;1;41;2;2;237;0;0;0;24;2;492;36;29;558;453;85;74;1560
1335;veal lungs cooked;312;79;27;2;11;0;0;562;0;789;2;2328;0;72;32;16;4;69;0;2;102;0;0;0;21;7;108;24;82;696;426;67;36;1979
1336;beef thymus cooked;1215;952;328;329;178;0;0;832;0;112010;4;2013;0;3;58;92;9;7;75;3;1151;0;0;0;381;2;57;381;4;138680;164970;29;84;3373
1337;ham;46;25;1;12;2;1;3;46;4;16;2;188;0;2;79;74;94;8;1;41;11;80;76;0;67;2;3;62;2;428;804;63;4;166
1338;pork meat cooked;283;141;44;68;21;0;0;141;0;1126;7;792;20;8;0;44;3;11;7;7;0;95;0;0;107;82;7;415;77;3698;6151;48;26;39657
1339;bacon roasted;43;33;11;15;4;1;0;3;0;88;34;1;0;37;50;7;81;15;9;51;90;0;2;39;97;9;96;1;26;3;426;452;90;6516
1340;pork top loin roasts raw;3644;1828;351;408;143;0;0;4684;0;140480;1;153960;90;94;0;75;4;1222;158;158;0;42;26;0;1537;12;116;5268;2;474120;785810;6;38;816574
1341;pork blade roll raw;76;62;22;28;7;0;0;47;0;15;4;167;0;2;76;80;89;8;2;97;14;0;0;0;2;84;2;37;42;563;835;78;7;13143
1342;pork backribs raw;2399;1749;619;735;287;0;0;2042;0;739;9;6798;35;49;0;28;33;726;88;45;0;25;26;0;332;1;81;1714;85;164930;264540;3;272;719224
1343;pork spareribs cooked;703;536;197;239;48;0;0;514;0;2142;2;715;65;7;22;16;7;97;13;6;0;43;6;0;832;3;33;425;83;462;5664;92;81;191598
1344;pork stomach cooked;44;21;8;6;2;29;0;61;0;894;35;20;0;80;90;67;50;4;2;38;0;0;87;0;42;48;3;42;15;365;241;77;8;12779
1345;honey smoked ham cooked;67;13;6;9;2;4;0;99;0;121;5;385;0;2;13;91;97;13;1;1;3;0;0;0;33;39;2;44;96;2112;908;99;5;190
1346;boston butt steak raw;844;561;197;236;72;0;0;79;0;2812;3;3138;51;24;0;88;16;192;66;22;0;28;1;0;726;4;51;907;98;8618;144240;1;14;212848
1347;pork sirloin chops cooked;140;45;15;18;8;0;0;233;0;656;1;539;75;75;5;0;70;2;64;8;4;0;10;1;0;9;12;6;205;73;2386;337;43;28239
1348;pork country style ribs raw;242;151;3;35;12;0;0;248;0;947;61;873;9;5;0;55;3;39;21;7;0;28;3;0;282;23;11;269;72;247;407;48;36;69223
1349;ham patties;205;183;66;86;2;11;0;83;0;455;7;354;0;3;61;84;1;2;2;1;0;0;0;0;52;39;7;65;64;969;1554;75;1;336
1350;pork feet cooked;67;45;12;23;4;0;0;62;0;303;46;178;0;80;14;48;29;2;47;81;0;0;54;0;0;14;3;14;17;232;93;40;3;110
1351;ground pork cooked;930;65;242;29;59;0;0;804;0;2942;2;1651;10;22;5;58;7;132;16;12;22;66;7;0;689;1;4;751;81;7074;113310;1;10;220513
1352;pork centre loin chops cooked;328;174;55;66;21;0;0;402;0;1319;65;978;2;21;9;0;59;4;128;1;11;0;89;2;0;377;1;12;393;5;3454;5401;70;590
1353;pork leg cap steak cooked;307;86;26;37;11;0;0;535;0;1571;1;1333;0;9;71;68;8;159;15;8;0;0;2;0;136;1;19;446;61;4287;710;35;8;776
1354;pork blade chops raw;376;154;52;61;21;0;0;558;0;1552;2;1916;39;14;0;55;9;187;29;12;0;67;5;0;789;2;19;473;59;5944;8232;38;72;152089
1355;pork tenderloin raw;606;178;6;68;28;0;0;1043;0;3283;3;3786;0;5;0;23;17;334;42;39;0;75;11;0;303;4;49;1364;98;122720;198470;2;94;1573
1356;pork sirloin chops raw;1090;233;82;99;37;0;0;2055;0;5676;6;6694;23;55;0;83;23;662;66;55;0;5;15;0;811;6;5;2072;94;226150;318950;3;155;314931
1357;pork leg cap steak raw;284;78;27;39;12;0;0;50;0;1455;2;1737;0;12;4;72;1;164;19;13;0;0;2;0;162;1;19;508;69;4782;8432;9;73;759
1358;pork carcass raw;1706;1591;564;723;172;0;0;631;0;3357;2;226;7;27;2;96;9;174;24;13;18;0;13;0;862;2;31;59;81;7031;114760;1;72;313327
1359;pork splean cooked;446;96;32;26;7;0;0;843;0;150700;3;1994;0;4;2;71;8;178;27;2;347;0;0;0;389;4;665;449;1;8462;6787;1;106;2340
1360;chopped ham;50;29;1;14;4;12;0;46;0;165;3;183;0;2;8;6;35;11;0;10;0;25;87;0;2;49;2;45;0;434;893;98;5;109
1361;pork centre loin chops raw;338;18;6;71;24;0;0;412;0;1373;1;1387;48;1;0;20;4;132;14;14;0;62;2;0;378;1;13;498;96;4159;6826;52;35;98301
1362;pork blade chops cooked;265;146;43;51;19;11;0;324;0;1009;72;814;69;8;0;68;3;101;15;7;0;28;3;0;105;100;12;314;76;355;5332;85;3;59882
1363;boston butt steak cooked;494;327;122;148;38;0;0;464;0;1813;1;1017;66;9;0;64;7;72;24;8;0;51;2;0;481;2;32;426;63;3848;5643;40;9;130498
1364;pork meat raw;179;186;62;79;37;0;0;26;0;204;21;7;94;50;0;86;59;7;1;70;0;55;1;0;4;76;70;17;0;238;942;46;2;25261
1365;pork top loin chops raw;287;128;45;55;16;0;0;399;0;124;99;1302;74;12;0;87;3;148;13;13;0;89;2;0;13;1;9;481;20;4181;6901;96;29;66684
1366;pork blade steak braised;694;447;166;201;53;87;0;682;0;2561;4;1482;4;0;11;0;100;9;95;35;12;0;32;3;0;713;5;45;528;60;5993;9768;1;115063
1367;pork boston steaks cooked;438;281;101;125;25;0;0;432;0;1606;1;968;60;12;96;46;7;69;12;5;5;91;5;0;608;3;24;355;37;3549;5509;60;76;135049
1368;bacon cooked;43;31;11;14;5;68;0;35;0;101;2;19;53;0;31;0;37;66;1;1;47;0;0;9;0;12;47;1;31;71;354;478;64;6747
1369;pickled pork hocks;48;3;9;15;3;0;0;54;0;252;3;192;55;56;58;61;66;3;20;47;0;0;47;0;54;63;3;17;18;17;133;89;7;14146
1370;pork boston roast cooked;705;494;183;217;46;0;0;605;0;2253;2;1506;61;17;84;41;9;106;17;6;18;29;5;0;734;3;38;472;52;5161;8698;22;104;188948
1371;canadian style bacon grilled;43;2;7;9;2;3;0;57;0;136;4;145;0;2;70;30;54;16;1;1;0;48;61;0;24;43;2;49;23;696;917;58;4;106
1372;ham steak;70;24;8;11;3;0;0;111;0;257;7;412;0;5;64;80;1;29;4;2;184;0;0;0;23;50;6;108;11;1482;1853;68;12;348
