ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
872;kiwifruit gold;51;2;8;99;51;128;10;8;11;0;46;668;91;0;51;58;70;2;4;67;1307;0;11;74;138;1;2;97;72;203;2552;3;77;159686
873;prickly pear raw;8;72;0;0;0;19;2;1;1;0;65;17;0;58;0;0;38;40;0;78;21;0;0;18;342;51;21;131;1;21;247;23;73;39263
874;pineapple;45;1;74;1;87;118;89;5;13;0;99;774;0;0;85;33;0;14;5;2;1;43;0;78;61;117;91;3;108;8;72;981;61;1397
875;rowan;253;46;6;0;0;545;321;52;141;0;83;1628;0;0;0;0;0;0;0;0;588;0;0;0;342;24;5;73;4;1186;2987;0;1;1764
876;muscadine grapes;3;56;0;0;0;8;0;14;2;0;24;51;0;0;46;0;0;0;0;0;0;0;0;0;22;23;14;8;1;14;122;0;27;338
877;heidelbeeren jutro;17;2;39;25;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
878;prunes stewed;316;7;85;5;1;832;0;34;0;0;39;1904;0;1;0;0;11;28;3;5;0;0;0;0;672;6;33;588;3;1036;9884;0;7;1578
879;tangerine;40;2;70;97;50;101;8;6;14;0;56;647;0;68;50;0;24;3;2;96;203;0;2;0;281;1;1;91;57;152;1262;8;78;608
880;prunes;237;5;57;3;1;623;0;26;0;0;76;28;0;93;42;0;1;21;3;5;0;0;0;0;504;4;25;448;2;784;7406;0;5;1183
881;lemon peel;1;2;57;24;95;3;54;32;2;0;28;16;0;7;25;0;18;46;55;11;26;0;61;0;27;15;32;3;0;2;32;48;36;5934
882;banana;134;5;2;96;1;343;183;16;39;0;55;1124;0;0;85;45;0;1;1;5;6;131;0;2;35;75;1;4;405;4;33;537;49;41084
883;raspberries;5;34;5;63;98;12;4;1;7;0;54;86;0;0;67;64;0;74;97;87;68;26;0;25;31;25;34;15;22;17;29;151;28;2207
884;apricot;17;1;30;99;28;39;32;5;7;0;20;302;0;0;17;38;0;12;2;90;26;35;0;3;39;46;12;1;35;56;81;907;31;5334
885;strawberry guava;4;8;39;4;41;1;0;10;3;0;59;48;0;0;0;0;62;64;0;0;22;0;0;0;13;0;71;1;0;16;175;0;0;4931
886;kiwifruit green;42;4;95;84;2;101;62;8;21;0;96;573;0;0;67;89;0;66;2;1;86;64;0;1;91;235;2;2;117;64;235;2153;34;13588
887;figs;37;2;68;8;78;96;81;4;15;0;49;396;0;43;46;0;30;2;2;83;1;0;1;27;175;79;2;85;24;7;116;83;60;304
888;clementine;35;1;0;0;0;89;68;6;13;0;44;641;0;0;52;63;0;60;5;1;18;361;0;1;0;222;93;1;74;35;155;131;0;10954
889;orange;86;2;8;99;5;216;172;17;44;0;0;1596;0;0;2;80;0;89;5;5;1;979;0;3;0;736;94;2;184;57;258;333;35;28073
890;bartlett pear;112;3;0;0;0;266;172;7;55;0;47;1489;0;51;23;0;18;3;40;10;78;0;2;28;159;1;3;106;91;195;1788;44;1;571
891;red white currants;63;2;43;91;89;155;83;16;48;0;56;94;0;30;16;0;59;1;60;62;459;0;1;93;37;1;11;146;2;493;308;79;3;1061
892;blueberries;84;5;47;43;2;214;147;11;36;0;15;1246;0;0;86;74;0;16;6;2;58;144;0;8;41;89;63;4;89;5;178;114;27;26767
893;mulberries;6;49;4;16;65;15;12;2;3;0;21;132;0;0;5;92;0;75;13;0;25;55;0;1;74;59;41;3;27;0;57;291;83;2163
894;java plum;2;29;0;0;0;5;0;34;0;0;63;25;0;51;0;0;58;42;0;75;4;0;0;0;6;0;54;5;0;5;24;0;0;1624
895;prune puree;46;20;38;0;0;117;7;4;6;0;36;54;0;0;53;0;0;0;5;57;0;8;0;0;0;56;0;5;0;0;13;1534;0;12709
896;applesauce;102;2;28;36;90;275;229;4;27;0;31;2153;0;0;70;29;0;85;2;1;80;24;0;4;43;98;14;6;73;74;122;1806;7;30923
897;blackberries raw;62;7;76;30;4;138;7;2;76;0;50;1269;0;30;45;0;54;9;4;37;302;0;17;82;418;2;9;288;9;317;2333;8;8;970
