Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
153;153;hazelnuts blanched;178;173;13;136;16;48;1;39;31;0;0;16;0;1;21;0;49;4;2;2;6;0;5;0;422;5;9;453;36;877;1862;15;6;728
154;154;brazilnuts dried;33;33;8;12;1;6;1;7;4;0;73;2;0;79;35;0;13;83;51;41;24;0;3;0;8;74;1;188;84;363;33;35;2;13139
155;155;sunflower seeds dry roasted;47;4;4;8;26;19;2;15;9;0;67;76;0;87;72;0;86;6;6;10;1;0;21;37;56;1;3;103;2;924;68;21;4;143
156;156;ginkgo nuts canned;172;25;5;9;9;343;0;35;144;0;5;1131;0;2;60;0;52;56;2;3;141;0;0;0;62;3;4;248;1;837;279;67;3;754
157;157;peanuts cooked;572;396;55;197;125;383;44;243;158;0;14;752;0;5;1;0;1;95;15;3;0;0;74;0;99;9;18;1836;18;3564;324;27;33;2188
158;158;pumpkin squash seeds dried;721;633;112;21;271;138;18;39;77;0;13;67;0;4;24;0;2;64;1;2;25;0;28;30;593;17;114;7637;59;159060;104360;78;101;1970
159;159;cashew nuts raw;156;124;22;67;22;85;17;52;9;0;20;15;0;1;76;0;71;3;2;1;1;0;3;40;105;6;19;826;5;1678;1868;39;16;395
160;160;sunflower seeds dried;269;237;2;85;106;92;12;96;4;0;14;22;0;7;1;0;2;38;5;6;6;0;162;0;359;8;24;1495;9;3036;2967;77;23;854
161;161;lotus seeds dried;106;6;1;1;4;206;0;49;0;0;24;45;0;2;19;0;59;5;3;2;0;0;0;0;522;1;11;672;7;2003;4378;0;3;794
162;162;butternuts dried;734;684;16;125;513;145;0;299;56;0;62;4;0;5;88;0;2;13;8;7;38;0;0;0;636;5;48;2844;79;5352;5052;28;38;1906
163;163;sesame seeds dried;52;45;6;17;2;21;31;16;11;0;49;4;0;37;50;0;57;4;82;96;0;0;99;0;878;4;13;316;2;566;421;47;7;984
164;164;breadfruit seeds;57;17;5;2;9;88;0;22;16;0;40;169;0;1;95;0;66;1;3;24;2;0;0;0;108;3;11;162;49;525;2823;0;3;282
165;165;pinyon pine nuts dried;1;73;22;44;74;10;0;83;5;0;70;45;0;20;66;0;40;27;0;48;4;0;0;0;22;78;7;2;12;98;6;0;49;359
166;166;pine nuts dried;909;923;66;253;46;177;48;185;5;0;86;31;0;5;18;0;3;59;4;1;11;0;126;2;216;18;75;3389;119;7763;806;61;87;1637
167;167;flaxseeds;55;43;4;8;3;3;2;19;28;0;35;7;0;2;15;0;95;3;1;56;23;0;42;53;263;1;6;404;3;661;837;50;4;38994
168;168;safflower seed kernels dried;146;109;1;14;8;97;0;46;0;0;42;16;0;3;55;0;1;6;11;3;0;0;0;0;221;5;14;999;6;1823;1944;0;14;487
169;169;pistachio nuts raw;691;558;68;293;169;338;94;249;127;0;37;48;0;11;87;0;2;16;6;21;69;0;28;0;1292;16;48;1488;15;6027;126080;78;27;2681
