Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
183;183;chocolate coated marshmallow;118;47;13;26;5;19;125;11;6;0;2;28;43;70;2;98;27;2;1;87;93;0;22;30;129;13;7;101;61;272;51;76;2;39096
184;184;raisins chocolate coated;390;148;103;31;6;684;622;41;31;3;21;112;59;18;16;66;2;4;3;80;2;0;3;54;86;4;17;45;4;143;514;53;13;178329
185;185;chewing gum sugarless;5;13;90;81;38;19;0;0;78;0;1;67;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;30;0;2378
186;186;chewing gum;11;32;58;60;15;29;2;0;12;0;83;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;45;0;2973
187;187;chocolate syrup;109;4;2;1;11;254;194;8;1;0;61;121;0;55;96;0;99;1;96;89;9;0;86;49;55;2;8;254;1;503;874;80;3;33955
188;188;chocolate fudge syrup;67;17;8;7;86;12;66;9;5;2;84;41;70;15;79;29;77;20;73;46;23;0;5;35;93;76;2;91;13;184;54;44;2;24726
189;189;m ms milk chocolate mars;207;89;55;22;4;299;267;18;12;59;18;7;86;97;16;63;80;1;1;15;2;0;2;32;441;1;5;185;1;613;1096;64;7;86651
190;190;milk chocolate with almonds;216;141;73;49;12;219;18;37;25;78;51;6;49;20;60;93;2;3;2;47;84;0;13;16;918;2;7;369;3;1082;182;67;5;134811
191;191;chocolate fudge;70;18;11;5;55;13;124;4;3;24;32;17;67;28;62;61;29;54;11;44;0;0;75;68;83;59;3;61;44;121;228;10;2;24119
192;192;milk chocolate with rice cereal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;193;m ms peanut chocolate mars;93;47;18;15;6;109;91;17;7;14;17;4;35;64;97;51;62;6;1;61;0;0;5;86;184;57;2;124;1;342;625;99;3;36623
194;194;dark chocolate;165;97;57;29;3;18;138;15;22;21;13;3;74;0;52;0;77;4;2;84;64;0;0;2;87;171;3;24;456;4;642;1704;33;31848
195;195;chocolate semisweet;806;504;298;167;16;1074;916;71;99;0;42;12;0;23;94;0;2;7;2;36;0;0;4;66;538;12;53;1932;13;2218;6132;55;27;2339
196;196;after eight mints nestle;36;1;7;0;0;67;56;1;2;0;25;5;0;0;0;0;0;0;0;0;0;0;0;0;11;0;62;0;0;0;0;0;0;9163
197;197;milk chocolate;37;21;13;5;36;42;36;5;2;16;45;1;49;97;33;10;66;79;87;89;0;0;3;17;132;83;2;44;14;146;26;7;2;20464
198;198;white chocolate;162;96;58;27;3;178;177;18;81;63;9;4;72;72;51;22;91;2;2;42;2;0;3;82;597;10;25;36;100;528;858;73;2;89212
199;199;chocolate;208;14;82;46;4;248;211;16;23;0;1;2;0;94;69;0;26;3;19;91;0;0;1;74;98;2;11;463;2;603;1189;18;6;536
200;200;twix mars;146;72;55;9;2;188;14;14;3;2;64;12;81;62;48;7;36;73;3;30;99;2;0;2;85;307;42;2;78;71;305;539;65;2786
201;201;kit kat nestle;62;33;22;6;97;76;65;7;2;11;22;1;0;0;94;47;0;71;35;65;0;2;0;0;0;166;59;1;2;0;134;353;0;11843
202;202;snickers mars;280;136;52;45;17;351;288;43;13;74;1;32;2;9;15;89;78;92;21;3;77;3;0;9;15;53;2;4;41;2;1083;1841;0;54826
203;203;milky way mars;264;10;7;13;2;413;346;23;6;52;21;37;1;65;85;79;11;81;0;90;68;4;72;5;38;667;47;3;116;95;389;719;73;54438
204;204;clif bar;235;4;1;7;15;445;215;10;5;0;1;75;0;4;76;55;3;3;15;4;60;0;2;89;2502;3;45;100;15;1999;2802;48;3;3782
205;205;gum drops;18;42;50;100;12;44;35;0;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;4418
206;206;skittles wild berry mars;249;26;26;0;0;563;471;1;0;0;36;24;0;0;0;0;0;0;0;0;416;0;0;0;0;0;0;0;0;0;0;0;0;1006
207;207;skittles original mars;251;27;26;0;0;563;47;1;0;0;25;24;0;0;0;0;33;37;16;97;414;0;1;36;0;87;0;6;73;6;74;44;30;1005
208;208;skittles tropical mars;251;27;0;0;0;563;47;1;0;0;95;24;0;0;0;0;0;0;0;0;416;0;0;0;0;0;0;0;0;0;0;0;0;1007
209;209;fruit leather;52;4;25;2;50;12;69;29;0;0;0;14;0;51;81;0;50;30;78;16;168;0;20;3;45;60;1;28;83;43;412;34;14;33811
210;210;taffy;60;5;3;1;45;137;103;87;0;14;28;7;96;26;11;0;0;46;18;13;0;0;0;62;34;12;0;16;0;0;2;5;54;14358
211;211;eisbonbons mac iver;23;0;0;56;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;212;caramels;39;8;3;2;4;78;66;5;0;7;15;9;21;5;61;30;40;94;92;88;24;0;2;14;139;60;49;17;6;115;216;87;57;23208
213;213;hard candy;24;67;0;0;0;59;38;0;0;0;21;50;0;21;0;0;84;39;90;35;0;0;0;0;2;71;38;2;82;2;3;52;59;6182
214;214;jellybeans;4;43;0;0;0;1;8;0;83;0;76;51;0;40;0;0;17;99;98;90;0;0;0;0;80;38;29;55;13;27;4;52;32;1216
215;215;jellies;56;69;33;59;71;147;108;5;2;0;16;63;0;55;98;0;100;39;45;46;2;0;0;63;15;12;84;13;96;13;113;100;41;16779
216;216;wheat germ toasted;115;32;5;5;2;149;23;87;45;0;60;17;0;5;1;0;2;17;4;3;18;0;48;98;135;2;27;96;6;3438;2841;47;5;493
217;217;crispy brown rice;124;11;2;3;5;275;29;23;23;0;86;1;0;34;46;0;84;7;0;51;0;0;43;0;9;67;4;282;0;906;762;34;5;426
218;218;bran flakes asda;109;6;2;195;36;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
219;219;amaranth cooked;251;39;0;0;0;46;0;93;52;0;95;1849;0;48;25;0;33;6;0;3;0;0;5;0;1156;4;52;1599;21;3641;3321;74;21;1852
220;220;triticale;645;4;7;4;18;1385;0;251;0;0;49;202;0;8;1;0;3;27;25;3;0;0;17;0;71;9;49;2496;62;6874;6374;0;66;2435
221;221;barley raw;42;1;41;96;38;93;94;12;19;0;16;12;0;17;2;0;96;6;35;34;0;0;52;61;35;59;3;95;2;265;336;19;3;163
222;222;bulgur dry;171;7;1;60;3;379;2;61;92;0;71;45;0;1;76;0;18;26;5;2;0;0;93;44;175;2;12;82;15;150;205;73;1;726
223;223;cottonseed kernels roasted;754;541;145;103;269;326;0;486;82;0;73;69;0;11;3;0;4;45;7;12;134;0;0;0;149;18;8;6556;32;119200;201150;0;89;3139
224;224;rice bran;373;246;49;89;88;586;11;158;248;0;36;72;0;32;28;0;3;401;87;48;0;0;58;51;673;9;219;9216;168;197890;175230;18;71;2130
225;225;chaptti roti indian bread;491;25;25;999;175;89;684;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9551
226;226;quinoa cooked;222;36;4;1;2;394;16;81;52;0;26;1325;0;2;84;0;2;8;0;2;0;0;12;0;315;4;28;1184;12;2812;3182;58;2;906
227;227;dar vida swiss original;116;31;3;178;28;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
228;228;teff cooked;255;16;0;0;0;50;0;98;71;0;53;1888;0;5;16;0;56;23;0;2;0;0;0;0;1235;6;52;126;72;3024;2696;0;28;1972
229;229;couscous dry;650;11;2;2;4;134;0;221;87;0;31;148;0;3;59;0;1;6;22;2;0;0;0;0;415;4;19;761;13;2941;2872;0;14;2093
230;230;weetabix weetabix;2078;115;3961;689;574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115
231;231;oat bran cooked;88;19;4;6;7;251;0;7;57;0;82;184;0;4;22;0;17;3;5;73;0;0;0;0;219;1;19;876;21;2606;2015;23;12;635
232;232;buckwheat cooked;155;1;2;3;3;335;15;57;45;0;53;1271;0;79;66;0;87;16;6;1;0;0;2;31;118;2;13;857;7;1176;1478;44;1;578
233;233;millet puffed;74;7;1;2;4;168;1;27;6;0;76;5;0;72;44;0;99;9;0;80;0;0;1;29;17;1;6;223;0;559;84;84;3;231
234;234;oat bran raw;23;5;77;2;2;49;1;13;12;0;36;324;0;5;91;0;60;84;17;0;0;56;44;4;18;516;40;2;0;0;0;0;0;659
235;235;popcorn oil popped;64;48;8;11;26;5;27;8;9;0;18;1;0;74;52;0;99;1;100;67;86;0;3;80;4;62;2;87;51;219;20;30;3;12109
236;236;kamut cooked;251;16;0;0;0;524;0;111;67;0;38;1056;0;2;17;0;60;47;0;1;0;0;0;0;172;4;35;963;21;3044;3474;58;3;925
237;237;wheat bran;125;25;4;4;13;374;2;9;248;0;15;57;0;3;5;0;3;79;13;8;0;0;9;10;423;6;61;3544;67;5875;6856;66;42;1221
238;238;cheese popcorn;58;37;7;11;17;57;0;1;11;12;2;3;90;9;60;76;17;2;89;15;74;0;0;0;124;44;2;10;97;397;287;96;2;24284
239;239;raisin bran crunch kelloggs;90;5;0;0;0;212;9;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236
240;240;couscous cooked;176;3;91;63;1;365;2;6;22;0;54;1139;0;26;87;0;92;15;6;58;0;0;2;46;126;65;6;126;1;345;911;10;4;582
241;241;multigrain cheerios general mills;4;5;0;80;95;1;2;38;1;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1248
242;242;bulgur cooked;151;4;53;83;2;338;2;56;82;0;49;1415;0;1;22;0;17;18;6;2;0;0;51;93;182;1;17;582;11;728;1238;26;1;679
243;243;popcorn air popped;31;4;11;14;2;62;86;1;12;0;16;3;0;31;99;0;92;2;97;57;0;0;97;71;6;20;3;115;92;286;263;0;2;97
244;244;teff raw;708;46;9;11;21;1411;36;257;154;0;53;17;0;8;0;0;5;65;18;9;0;0;2;30;3474;16;147;3551;178;828;8241;38;7;5489
245;245;spelt cooked;246;16;0;0;0;513;0;107;76;0;41;1291;0;2;66;0;87;5;0;2;0;0;5;0;194;4;32;951;21;291;2774;42;24;938
246;246;millet raw;756;84;14;15;43;1457;0;22;17;0;13;173;0;8;2;0;6;94;17;8;0;0;1;27;16;15;6;228;33;570;390;0;34;2151
247;247;popcorn unpopped;106;12;2;3;7;209;3;31;36;0;1;3;0;87;1;0;51;5;1;54;0;0;26;0;14;42;9;348;3;846;775;0;8;311
248;248;whole wheat cooked;150;1;1;1;5;332;2;48;39;0;6;2023;0;2;85;0;1;22;4;2;0;0;6;56;169;2;15;532;14;167;1718;25;12;613
249;249;wheat sprouted;214;14;2;2;6;459;0;81;12;0;26;516;0;2;23;0;2;33;1;3;28;0;0;0;302;3;23;886;2;216;1825;4;18;919
250;250;whole wheat dry;96;6;31;95;3;211;1;31;27;0;36;28;0;1;53;0;87;14;3;1;0;0;4;92;112;1;9;342;9;1061;1089;31;7;396
251;251;caramel popcorn;122;36;1;8;13;224;151;11;15;14;69;8;66;44;79;0;86;6;18;52;0;0;3;94;122;54;5;99;100;235;308;67;2;41396
252;252;wheat puffed;44;1;25;0;0;96;0;18;5;0;30;4;0;3;92;0;2;42;92;41;0;0;0;0;34;86;38;174;2;426;418;84;3;192
253;253;roggenmischbrot sonnenblumenkerne aldi;82;31;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
254;254;wheat germ;112;3;5;4;19;161;0;72;41;0;37;34;0;6;87;0;2;21;7;4;0;0;0;0;121;2;19;741;41;261;2765;56;38;444
